ID,class,CISP,area_cisp,regiao,hom_doloso,lesao_corp_morte,latrocinio,tentat_hom,lesao_corp_dolosa,estupro,hom_culposo,lesao_corp_culposa,encontro_cadaver,encontro_ossada,roubo_comercio,roubo_residencia,roubo_veiculo,roubo_carga,roubo_transeunte,roubo_em_coletivo,roubo_banco,roubo_cx_eletronico,roubo_celular,roubo_conducao_saque,roubo_bicicleta,outros_roubos,furto_veiculos,furto_bicicleta,outros_furtos,sequestro,extorsao,sequestro_relampago,estelionato,apreensao_drogas,cump_mandado_prisao,ameaca,pessoas_desaparecidas,hom_por_interv_policial,armas_apreendidas,pol_militares_mortos_serv,pol_civis_mortos_serv,indicador_letalidade
8838,Ano Comum,33,546,1,8,0,4,4,80,2,2,64,0,0,5,1,41,2,116,19,0,0,10,0,0,19,32,0,143,0,2,0,28,7,4,96,5,1,3,0,0,13
8839,Ano Comum,34,678,1,13,0,0,5,109,9,4,61,0,0,14,4,87,8,177,20,0,0,23,1,0,29,54,0,173,0,5,0,63,26,24,117,17,2,15,0,0,15
8840,Ano Comum,35,1535,1,24,0,0,2,259,8,3,183,0,0,7,4,60,4,140,21,1,0,34,0,0,37,70,0,293,0,5,0,74,3,35,262,23,1,6,0,0,25
8841,Ano Comum,36,1525,1,17,0,0,5,151,16,3,75,0,0,3,1,16,2,68,10,0,0,6,0,0,13,12,0,145,0,1,0,14,13,38,123,13,0,9,0,0,17
8842,Ano Comum,37,414,1,3,0,1,3,64,3,4,35,0,0,2,1,39,1,64,13,0,0,12,0,0,26,14,0,203,0,2,0,39,13,9,33,2,1,16,0,0,5
8843,Ano Comum,38,158,1,1,0,0,4,56,2,1,75,0,0,2,0,61,9,85,11,0,0,21,0,0,21,36,0,82,0,1,0,20,2,0,51,8,3,13,0,0,4
8844,Ano Comum,39,15,1,8,0,1,5,63,7,2,39,0,0,3,1,78,19,124,23,0,0,9,0,0,30,12,0,87,0,3,0,14,11,18,66,15,5,12,0,0,14
8845,Ano Comum,40,77,1,1,0,0,5,41,0,2,40,0,0,6,0,66,5,106,23,0,0,9,0,0,12,12,0,60,0,1,0,12,2,8,46,7,3,6,0,0,4
8846,Ano Comum,41,188,1,2,0,0,3,66,4,0,25,0,0,13,0,39,2,119,7,0,0,8,0,0,16,37,0,155,0,1,0,32,0,4,52,4,0,0,0,0,2
8847,Ano Comum,43,1552,1,4,0,2,0,58,3,1,38,0,0,0,0,3,1,6,2,0,0,2,0,0,3,7,0,58,0,1,0,3,0,2,56,2,0,1,0,0,6
8848,Ano Comum,44,97,1,2,0,0,3,35,3,1,25,0,0,5,2,65,9,80,14,0,0,5,0,0,41,10,0,106,0,1,0,10,3,8,28,2,0,1,0,0,2
8849,Ano Comum,48,2838,2,4,0,0,0,24,1,2,17,0,1,1,0,5,4,1,1,0,0,1,0,0,5,0,0,32,0,0,0,5,7,6,22,4,0,4,0,0,4
8850,Ano Comum,50,2743,2,1,0,0,2,46,5,6,23,0,0,3,2,6,2,9,4,0,0,3,0,0,3,13,0,59,0,1,0,12,3,10,34,1,0,7,0,0,1
8851,Ano Comum,51,1797,2,0,0,0,0,18,3,2,7,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,17,0,1,0,5,5,0,20,2,0,0,0,0,0
8852,Ano Comum,52,407,2,2,0,0,0,62,5,2,51,0,0,2,0,47,5,153,12,1,0,22,1,0,21,54,0,173,0,1,0,35,1,25,90,11,0,5,0,0,2
8853,Ano Comum,53,339,2,5,0,1,0,71,8,0,31,1,0,7,3,20,5,48,5,0,0,15,1,0,12,14,0,75,0,0,0,12,3,15,67,6,0,4,0,0,6
8854,Ano Comum,54,778,2,23,0,2,12,111,17,1,40,0,0,4,1,32,2,95,7,0,0,15,0,0,22,18,0,119,0,0,0,13,6,15,69,25,3,15,0,0,28
8855,Ano Comum,55,757,2,3,0,0,2,73,5,1,19,1,0,1,0,5,2,12,0,0,0,3,0,0,10,4,0,76,0,1,0,6,2,10,85,3,0,4,0,0,3
8856,Ano Comum,56,1172,2,10,0,0,3,61,2,1,13,0,0,2,0,25,2,42,4,0,0,12,0,0,7,12,0,91,0,0,0,6,8,2,51,4,8,17,0,0,18
8857,Ano Comum,57,186,2,2,0,0,1,60,0,0,34,0,0,8,4,39,3,129,6,0,0,13,0,0,13,20,0,125,0,1,0,18,1,5,54,3,0,2,0,0,2
8858,Ano Comum,58,3493,2,18,0,0,7,113,13,5,48,0,0,5,0,38,2,93,6,0,0,7,0,0,10,29,0,130,0,0,0,20,1,21,112,9,0,8,0,0,18
8859,Ano Comum,59,408,2,16,0,0,4,223,11,6,90,2,0,7,4,135,10,296,31,0,1,52,0,0,56,62,0,408,0,3,0,113,4,15,178,13,4,18,0,0,20
8860,Ano Comum,60,1003,2,17,0,0,4,96,5,8,59,0,0,3,1,58,2,46,11,0,0,7,0,0,24,17,0,81,0,2,0,11,0,2,53,18,1,7,0,0,18
8861,Ano Comum,61,2564,2,5,1,0,0,21,2,2,20,0,0,0,1,4,0,3,0,0,0,0,0,0,2,1,0,17,0,0,0,3,1,3,13,1,1,2,0,0,7
8862,Ano Comum,62,701,2,8,0,0,3,41,5,1,26,0,0,0,0,26,0,39,4,0,0,6,0,0,9,9,0,47,0,0,0,5,5,7,30,6,2,7,0,0,10
8863,Ano Comum,63,819,2,4,0,1,2,39,6,2,7,0,0,0,1,1,0,10,2,0,0,0,0,0,1,0,0,48,0,1,0,0,18,9,25,4,0,7,0,0,5
8864,Ano Comum,64,352,2,16,0,0,4,203,13,4,78,0,0,8,4,72,4,151,17,0,0,18,0,0,33,42,0,117,0,3,0,39,4,18,175,14,0,15,0,0,16
8865,Ano Comum,65,5798,2,0,0,0,4,60,1,0,27,1,0,1,1,4,1,7,1,0,0,0,0,0,4,9,0,101,0,0,0,11,14,12,66,2,0,4,0,0,0
8866,Ano Comum,66,1694,2,4,0,1,2,49,4,1,15,0,0,0,3,11,0,8,1,0,1,0,0,0,6,12,0,68,0,0,0,7,6,11,25,2,1,7,0,0,6
8867,Ano Comum,71,5759,3,3,0,0,2,84,6,5,34,0,0,5,2,17,2,42,22,0,0,1,0,0,7,12,0,114,0,1,0,11,6,15,62,0,0,12,0,0,3
8868,Ano Comum,72,673,4,10,0,1,5,94,2,2,33,0,0,9,1,43,9,109,8,0,0,7,0,0,16,27,0,109,0,0,2,28,4,16,139,1,0,10,0,0,11
8869,Ano Comum,73,171,4,2,0,0,4,40,1,4,40,0,0,7,1,31,1,80,8,0,0,5,0,0,14,14,0,85,0,1,0,10,4,26,59,6,0,0,0,0,2
8870,Ano Comum,74,565,4,8,0,1,8,96,3,6,67,0,0,7,2,45,3,170,21,0,0,19,0,0,19,26,0,217,1,3,0,15,12,16,133,5,1,10,0,0,10
8871,Ano Comum,75,1069,4,4,0,0,5,53,1,7,26,0,0,4,1,19,0,39,8,0,0,1,0,0,7,10,0,35,0,0,0,0,2,6,61,1,0,2,0,0,4
8872,Ano Comum,76,94,4,4,0,0,3,45,2,1,53,1,0,7,4,25,2,133,27,1,0,24,2,0,30,41,0,247,0,5,0,63,5,10,62,3,0,0,0,0,4
8873,Ano Comum,77,75,4,1,0,0,2,20,1,0,23,1,0,6,1,19,0,74,10,0,0,17,0,0,15,94,0,119,0,1,0,21,10,6,28,1,1,13,0,0,2
8874,Ano Comum,78,189,4,3,0,0,0,41,3,1,25,0,0,3,1,23,1,39,23,0,0,7,0,0,18,48,0,75,0,1,0,6,9,5,51,1,1,4,0,0,4
8875,Ano Comum,79,33,4,4,0,1,0,40,1,1,31,0,0,2,0,8,0,19,6,0,0,2,0,0,4,12,0,62,0,2,0,4,0,1,22,4,0,0,0,0,5
8876,Ano Comum,81,646,4,1,0,0,1,45,1,0,32,0,0,8,1,12,0,26,2,1,0,1,1,0,4,10,0,76,0,5,1,15,1,6,61,1,0,0,0,0,1
8877,Ano Comum,82,3626,4,1,0,0,3,61,4,3,21,1,0,5,0,9,2,19,3,0,0,1,0,0,8,12,0,76,0,0,0,3,1,20,43,3,0,6,0,0,1
