ID,class,CISP,area_cisp,regiao,hom_doloso,lesao_corp_morte,latrocinio,tentat_hom,lesao_corp_dolosa,estupro,hom_culposo,lesao_corp_culposa,encontro_cadaver,encontro_ossada,roubo_comercio,roubo_residencia,roubo_veiculo,roubo_carga,roubo_transeunte,roubo_em_coletivo,roubo_banco,roubo_cx_eletronico,roubo_celular,roubo_conducao_saque,roubo_bicicleta,outros_roubos,furto_veiculos,furto_bicicleta,outros_furtos,sequestro,extorsao,sequestro_relampago,estelionato,apreensao_drogas,cump_mandado_prisao,ameaca,pessoas_desaparecidas,hom_por_interv_policial,armas_apreendidas,pol_militares_mortos_serv,pol_civis_mortos_serv,indicador_letalidade
1,Ano Comum,1,35,1,0,0,0,1,40,0,1,15,0,0,14,0,5,1,26,8,0,0,32,0,0,14,12,0,157,0,1,0,69,1,8,21,2,0,4,0,0,0
2,Ano Comum,4,38,1,3,0,0,0,47,1,4,35,0,1,5,0,9,1,25,12,0,1,14,1,0,14,9,0,106,0,1,0,1,35,1,15,6,0,5,0,0,3
3,Ano Comum,5,3,1,3,0,0,1,73,2,1,19,1,0,10,1,11,5,26,4,2,0,34,2,0,28,28,0,188,0,0,0,37,4,5,47,2,0,9,0,0,3
4,Ano Comum,6,6,1,6,0,0,2,43,2,1,20,1,0,10,0,27,6,14,22,0,0,20,0,0,44,17,0,73,0,0,0,8,20,3,26,2,0,7,0,0,6
5,Ano Comum,7,52,1,4,0,0,2,18,2,0,2,3,0,0,2,23,1,4,0,0,0,1,0,0,24,12,0,23,0,0,0,4,3,1,10,1,0,1,0,0,4
6,Ano Comum,9,69,1,1,1,0,3,44,0,0,15,0,0,4,3,30,0,18,10,0,0,16,0,0,43,87,0,181,0,0,0,20,11,1,36,3,0,3,0,0,2
7,Ano Comum,10,82,1,1,0,0,4,48,1,0,26,3,0,4,4,20,0,26,10,1,0,17,1,0,29,78,0,212,0,0,0,19,7,3,40,2,0,1,0,0,1
8,Ano Comum,12,32,1,2,0,0,4,45,1,0,14,0,0,6,2,3,1,20,5,0,0,22,1,0,71,15,0,241,0,1,0,18,11,6,48,3,1,3,0,0,3
9,Ano Comum,13,19,1,0,0,0,0,16,0,0,15,0,0,6,2,6,0,20,4,0,0,10,0,0,31,19,0,198,0,1,0,15,14,2,26,1,0,5,0,0,0
10,Ano Comum,14,52,1,0,0,0,0,30,1,1,30,2,0,12,3,19,0,25,6,0,0,11,0,0,42,30,0,281,0,1,0,16,10,2,43,2,0,3,0,0,0
11,Ano Comum,15,199,1,0,0,0,0,21,0,0,24,0,0,3,3,9,0,12,2,0,0,6,0,0,20,8,0,97,0,0,0,7,4,1,25,5,0,1,0,0,0
12,Ano Comum,16,1754,1,3,0,1,8,107,7,6,102,1,0,12,11,48,1,24,7,0,0,17,2,0,42,40,0,250,0,0,0,58,13,8,141,3,0,8,0,0,4
13,Ano Comum,17,111,1,5,0,0,3,51,2,0,42,4,0,7,0,33,8,22,15,0,0,27,0,0,33,19,0,87,0,1,0,8,21,0,38,2,1,7,0,0,6
14,Ano Comum,18,35,1,3,0,0,0,23,1,0,25,1,0,5,0,42,1,36,8,0,0,27,0,0,39,32,0,85,0,0,0,8,2,3,28,1,0,7,0,0,3
15,Ano Comum,19,404,1,0,0,0,7,34,0,0,24,2,0,10,0,64,6,24,4,0,0,23,0,0,77,36,0,138,0,0,0,26,11,2,52,1,1,9,0,0,1
16,Ano Comum,20,112,1,2,0,0,10,42,1,0,19,2,0,7,0,47,5,18,3,1,0,21,0,0,33,56,0,88,0,0,0,16,11,2,29,0,2,6,0,0,4
17,Ano Comum,21,148,1,23,0,0,16,75,2,4,51,5,0,15,3,166,23,52,40,0,0,31,0,0,128,51,0,105,0,0,0,18,23,2,53,8,8,27,1,1,31
18,Ano Comum,22,162,1,2,0,0,0,41,1,3,45,3,0,21,1,131,10,27,14,0,0,17,0,0,88,64,0,103,0,0,0,5,7,0,43,4,0,14,0,0,2
19,Ano Comum,23,47,1,1,0,0,2,61,0,0,32,0,0,13,1,124,13,32,4,0,0,41,0,0,127,49,0,111,1,0,0,37,5,0,56,0,0,3,0,0,1
20,Ano Comum,24,74,1,3,0,0,2,54,1,1,38,1,0,6,1,78,10,24,3,0,0,19,0,0,67,18,0,48,0,0,0,10,7,2,55,6,1,21,0,0,4
21,Ano Comum,25,82,1,3,0,0,4,39,3,2,19,1,0,3,1,118,10,22,6,0,0,16,0,0,103,12,0,72,0,1,0,8,33,4,25,2,2,43,0,0,5
22,Ano Comum,26,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Ano Comum,27,141,1,7,0,0,2,60,2,3,34,1,0,13,1,148,2,22,7,0,0,23,2,0,123,51,0,97,0,0,0,5,3,1,58,0,2,10,0,0,9
24,Ano Comum,28,189,1,2,0,1,6,41,1,0,31,1,0,9,0,54,3,19,12,0,0,18,0,0,42,18,0,65,0,1,0,6,3,6,49,5,3,7,0,0,6
25,Ano Comum,29,88,1,10,0,0,1,49,2,0,19,1,0,11,1,45,2,39,21,0,0,29,0,0,41,19,0,89,0,0,0,18,5,3,53,7,1,4,0,0,11
26,Ano Comum,30,9,1,3,0,1,5,92,2,0,20,4,0,8,1,96,4,36,9,0,0,22,0,0,71,30,0,65,0,0,0,9,4,4,90,2,5,6,0,0,9
27,Ano Comum,31,142,1,1,0,0,0,4,0,0,2,0,0,0,0,3,2,0,0,0,0,1,0,0,6,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,1
28,Ano Comum,32,983,1,6,1,0,12,200,7,3,65,3,0,10,9,52,10,14,19,0,0,20,0,0,38,18,0,96,0,2,0,8,9,6,181,9,0,21,0,0,7
29,Ano Comum,33,546,1,8,0,2,0,98,0,2,46,6,0,6,0,62,10,35,4,0,0,17,0,0,48,24,0,61,0,0,0,14,11,1,86,5,0,40,0,0,10
30,Ano Comum,34,678,1,14,0,0,14,119,11,3,43,5,0,14,4,93,14,41,13,0,0,23,0,0,80,50,0,116,0,0,0,11,38,8,71,12,15,70,1,1,29
31,Ano Comum,35,3087,1,32,0,1,4,257,14,4,122,12,0,16,4,93,10,54,26,0,0,25,1,0,68,54,0,269,0,2,0,30,9,12,208,27,0,36,0,0,33
32,Ano Comum,36,1525,1,22,0,1,8,156,4,3,52,7,1,9,2,26,7,11,13,0,0,10,1,0,22,10,0,95,0,0,0,7,20,4,128,11,3,12,0,0,26
33,Ano Comum,37,414,1,3,0,0,10,90,3,1,54,9,0,11,1,82,10,19,10,0,0,19,0,0,57,14,0,132,0,1,0,24,16,2,84,7,2,9,0,0,5
34,Ano Comum,38,158,1,1,0,0,3,65,1,1,26,2,0,13,2,142,14,8,6,0,0,8,0,0,98,38,0,68,0,0,0,9,11,1,33,6,1,21,0,0,2
35,Ano Comum,39,15,1,20,1,1,12,94,3,1,36,0,0,17,5,135,16,34,12,0,0,33,0,0,102,23,0,52,0,0,0,4,11,1,69,8,5,36,1,0,27
36,Ano Comum,40,77,1,7,1,1,9,56,3,1,27,2,0,8,1,70,8,13,8,0,0,14,1,0,44,14,0,34,0,0,0,6,2,1,28,4,3,7,0,0,12
37,Ano Comum,41,188,1,4,0,0,4,51,3,1,44,1,0,6,2,56,2,14,4,0,0,8,0,0,38,26,0,94,0,0,0,16,4,2,49,7,2,8,0,0,6
38,Ano Comum,44,97,1,3,0,2,4,45,1,1,29,0,0,9,4,105,10,20,7,0,0,12,0,0,70,23,0,39,0,1,0,3,11,7,18,1,2,21,0,0,7
39,Ano Comum,48,2838,2,4,0,0,2,23,1,5,8,1,0,1,0,5,1,1,0,0,0,1,0,0,7,1,0,27,0,0,0,0,4,1,28,0,0,5,0,0,4
40,Ano Comum,50,2743,2,7,0,0,5,58,1,2,33,0,0,3,5,4,0,5,0,0,0,6,0,0,6,4,0,33,0,0,0,8,4,2,79,3,0,5,0,0,7
41,Ano Comum,51,1797,2,2,0,0,2,29,2,0,7,0,0,0,0,4,2,0,0,0,0,0,0,0,2,1,0,14,0,0,0,2,1,0,26,2,0,4,0,0,2
42,Ano Comum,52,407,2,6,0,0,1,91,7,0,34,1,0,9,3,67,14,26,8,0,0,16,0,0,58,37,0,101,0,0,0,10,3,4,94,1,2,11,0,0,8
43,Ano Comum,53,339,2,8,0,0,2,106,5,1,14,1,0,4,0,16,1,10,1,0,0,6,0,0,12,9,0,41,0,0,0,1,9,0,89,4,4,14,0,0,12
44,Ano Comum,54,778,2,20,0,0,4,224,8,0,28,2,0,8,1,43,7,6,3,0,0,8,0,0,27,18,0,66,0,0,0,4,11,5,211,15,3,19,0,0,23
45,Ano Comum,55,1576,2,11,0,0,8,63,4,1,24,0,0,2,4,5,2,7,4,0,0,2,0,0,6,5,0,47,0,0,0,3,5,3,49,12,0,8,0,0,11
46,Ano Comum,56,1172,2,27,0,0,7,75,2,3,23,0,0,7,5,30,3,4,6,0,0,3,0,0,17,7,0,33,0,0,0,1,17,2,89,9,2,15,0,0,29
47,Ano Comum,57,186,2,5,1,1,1,66,3,1,15,0,0,4,0,46,4,17,4,0,0,8,0,0,39,40,0,50,0,2,0,6,9,4,74,6,0,7,0,0,7
48,Ano Comum,58,3493,2,29,0,0,8,116,6,6,45,1,0,4,1,43,5,6,9,0,0,2,0,0,27,26,0,45,0,0,0,5,5,2,128,6,1,18,0,0,30
49,Ano Comum,59,408,2,14,0,2,2,113,7,4,41,3,0,19,4,203,15,69,29,0,0,36,0,0,176,44,0,124,0,2,0,24,22,15,155,14,5,27,0,0,21
50,Ano Comum,60,1003,2,21,0,0,9,62,2,4,46,2,0,6,0,37,6,7,22,0,0,5,1,0,22,8,0,39,0,0,0,1,5,3,39,9,0,7,0,0,21
51,Ano Comum,61,2564,2,2,0,0,2,19,0,0,17,0,0,2,0,5,1,1,2,0,0,1,0,0,3,6,0,14,0,0,0,2,0,1,24,1,0,6,0,0,2
52,Ano Comum,62,701,2,12,0,0,1,25,0,0,6,1,0,1,1,22,4,6,9,0,0,3,0,0,14,5,0,16,0,0,0,2,15,1,27,3,3,9,0,0,15
53,Ano Comum,64,352,2,17,0,2,7,187,9,1,41,2,0,16,1,70,8,24,7,0,0,20,1,0,52,44,0,99,1,0,0,20,12,8,85,7,3,28,0,0,22
54,Ano Comum,65,5798,2,4,0,0,0,76,2,1,67,0,0,1,3,5,3,1,2,0,0,2,0,0,4,4,0,54,0,0,0,6,7,4,70,4,0,25,0,0,4
55,Ano Comum,66,1694,2,8,0,0,2,65,1,1,9,4,0,0,3,11,0,5,4,0,0,3,0,0,12,3,0,43,0,0,0,4,6,7,53,4,0,7,0,0,8
56,Ano Comum,71,5759,3,9,1,0,3,100,3,2,55,2,0,10,9,31,10,10,29,0,0,2,1,0,27,13,0,81,0,0,0,7,13,5,92,8,0,1,0,0,10
57,Ano Comum,72,673,4,15,0,1,6,143,2,1,30,2,0,10,1,34,5,32,12,0,0,6,0,0,31,34,0,97,0,0,0,8,4,5,138,5,0,2,0,0,16
58,Ano Comum,73,171,4,7,0,0,1,77,0,2,18,2,0,5,3,25,1,14,8,0,0,3,1,0,25,16,0,45,0,0,0,2,5,4,79,0,0,4,0,0,7
59,Ano Comum,74,565,4,9,0,0,6,127,9,8,31,3,0,5,1,33,2,32,29,0,0,8,0,0,32,18,0,97,0,1,0,7,16,8,112,5,1,14,0,0,10
60,Ano Comum,75,1069,4,8,0,0,8,46,1,3,31,0,0,1,1,18,2,3,11,0,0,2,0,0,14,2,0,26,0,0,0,3,1,0,44,4,0,2,0,0,8
61,Ano Comum,76,94,4,1,0,0,1,45,1,2,43,1,0,16,4,28,1,42,20,0,0,23,0,0,35,52,0,184,0,0,0,13,6,2,65,6,2,5,0,0,3
62,Ano Comum,77,75,4,1,0,0,1,47,0,0,15,2,0,14,1,26,0,15,15,0,0,13,0,0,26,83,0,95,0,0,0,6,11,0,51,7,2,7,0,0,3
63,Ano Comum,78,189,4,6,0,0,3,86,3,0,27,1,0,7,1,20,3,14,29,0,0,12,0,0,10,12,0,44,0,0,0,1,10,0,69,3,1,6,0,0,7
64,Ano Comum,79,33,4,4,0,0,2,42,0,0,8,1,0,2,3,2,1,3,0,0,0,0,0,0,4,13,0,21,0,0,0,1,2,1,42,2,0,1,0,0,4
65,Ano Comum,81,646,4,4,0,0,3,48,2,0,19,2,0,2,4,12,0,7,3,0,0,3,1,0,10,33,0,69,0,0,0,10,3,5,39,3,0,11,0,0,4
66,Ano Comum,82,3626,4,4,0,0,1,74,3,1,37,3,0,2,3,2,0,0,3,0,0,1,0,0,4,11,0,64,0,0,0,3,1,5,58,5,0,1,0,0,4
67,Ano Comum,88,579,3,1,0,0,2,42,2,3,11,0,0,0,0,2,0,1,0,0,0,0,0,0,1,3,0,22,0,0,0,3,8,3,21,1,0,5,0,0,1
68,Ano Comum,89,10952,3,3,0,0,6,80,1,2,19,1,1,15,0,3,2,9,3,0,0,1,0,0,4,3,0,111,0,1,0,7,3,15,101,8,0,7,0,0,3
69,Ano Comum,90,5472,3,2,0,0,7,62,2,1,14,0,0,7,2,5,1,9,1,0,0,1,0,0,8,10,0,49,0,0,0,1,6,8,67,2,0,5,0,0,2
70,Ano Comum,91,13048,3,0,0,0,0,63,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,43,0,0,0,1,9,4,28,2,0,6,0,0,0
71,Ano Comum,92,4783,3,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0
72,Ano Comum,93,1825,3,6,0,0,7,150,2,0,76,0,0,9,1,15,1,15,1,0,0,5,0,0,16,29,0,105,0,0,0,11,18,24,115,10,0,14,0,0,6
73,Ano Comum,94,5819,3,0,0,0,0,19,2,6,25,0,0,0,1,3,2,1,0,0,0,0,0,0,2,1,0,19,0,0,0,0,1,5,24,1,0,7,0,0,0
74,Ano Comum,95,5381,3,0,0,0,0,39,0,2,11,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,16,0,0,0,2,3,1,34,1,0,3,0,0,0
75,Ano Comum,96,608,3,2,0,0,2,46,3,0,21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,3,0,28,1,0,9,0,0,2
76,Ano Comum,97,97,3,0,0,0,0,12,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,1,11,0,0,3,0,0,0
77,Ano Comum,98,1329,3,0,0,0,0,7,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,12,0,0,0,0,0,0
78,Ano Comum,99,2451,3,1,0,0,3,20,0,0,2,0,0,3,1,0,0,3,0,0,0,0,0,0,4,1,0,28,0,0,0,1,2,3,19,1,0,1,0,0,1
79,Ano Comum,100,3368,3,2,0,0,0,8,2,0,3,0,0,0,0,0,0,1,2,1,0,0,0,0,1,1,0,13,0,0,0,0,0,1,17,0,0,2,0,0,2
80,Ano Comum,104,2204,3,0,0,0,0,6,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,5,0,0,2,0,0,0
81,Ano Comum,105,3147,3,2,0,0,0,110,3,1,30,0,0,6,4,3,2,8,3,0,0,1,0,0,5,19,0,88,0,0,0,11,17,7,89,4,0,9,0,0,2
82,Ano Comum,106,4811,3,2,0,0,0,37,1,1,12,1,0,1,1,0,0,1,0,0,0,1,0,0,1,2,0,36,0,0,0,4,5,3,16,0,0,2,0,0,2
83,Ano Comum,107,5805,3,0,0,0,1,15,2,0,9,0,0,1,0,2,1,0,0,0,0,0,0,0,0,2,0,21,0,0,0,1,2,1,32,0,0,3,0,0,0
84,Ano Comum,108,5439,3,5,0,0,4,76,4,6,31,0,0,5,0,3,2,2,0,0,0,0,0,0,5,5,0,61,0,0,0,5,9,5,101,4,0,4,0,0,5
85,Ano Comum,109,5417,3,3,0,0,1,9,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,13,0,0,1,0,0,3
86,Ano Comum,110,7706,3,1,0,0,2,122,4,2,34,0,0,1,0,3,0,5,0,0,0,1,1,0,3,19,0,68,0,0,0,6,10,7,59,4,0,10,0,0,1
87,Ano Comum,111,3955,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,5,0,0,5,0,0,0
88,Ano Comum,112,3219,3,1,0,0,0,18,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,2,2,13,0,0,1,0,0,1
89,Ano Comum,118,638,3,3,0,0,0,61,4,5,34,0,0,1,3,4,1,5,0,0,0,1,0,0,4,4,0,104,0,0,0,6,2,3,35,2,0,7,0,0,3
90,Ano Comum,119,4565,3,3,0,0,0,23,3,0,23,0,0,0,0,7,3,2,1,0,0,0,0,0,3,6,0,14,0,0,0,5,6,1,17,2,0,4,0,0,3
91,Ano Comum,120,9375,3,1,0,0,0,5,1,3,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,3,11,0,0,5,0,0,1
92,Ano Comum,121,4608,3,0,0,0,1,6,1,1,10,0,0,0,0,3,2,0,0,0,0,1,0,0,0,2,0,17,0,0,0,0,2,1,23,2,0,5,0,0,0
93,Ano Comum,122,3473,3,0,0,0,0,19,1,0,8,0,0,0,0,2,1,0,0,0,0,0,0,0,2,2,0,7,0,0,0,0,1,0,6,1,0,5,0,0,0
94,Ano Comum,123,22378,3,7,0,0,12,64,2,2,43,0,0,4,1,12,4,7,1,0,0,5,0,0,6,28,0,80,0,0,0,11,18,6,35,2,0,20,0,0,7
95,Ano Comum,124,3536,3,2,0,0,1,19,3,1,29,1,0,1,0,2,2,4,0,0,0,1,0,0,0,7,0,51,0,0,0,2,8,2,30,1,0,8,0,0,2
96,Ano Comum,125,3328,3,4,0,0,4,51,0,3,30,1,0,2,1,3,0,7,0,0,0,1,0,0,2,2,0,41,0,0,0,8,4,5,40,0,0,1,0,0,4
97,Ano Comum,126,5707,3,9,0,0,6,121,5,3,49,1,0,4,3,9,0,33,2,0,0,24,0,0,19,40,0,617,0,0,0,12,22,8,98,3,0,10,0,0,9
98,Ano Comum,127,703,3,11,0,0,2,42,2,0,22,2,0,3,2,2,0,4,1,0,0,3,0,0,4,5,0,105,0,0,0,3,7,3,24,2,0,3,0,0,11
99,Ano Comum,128,229,3,4,0,0,4,29,3,1,43,1,0,2,2,7,1,5,1,0,0,3,0,0,6,22,0,98,0,0,0,3,6,2,39,6,0,8,0,0,4
100,Ano Comum,129,519,3,0,0,0,0,7,0,1,6,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,27,0,0,0,0,2,3,10,0,0,1,0,0,0
101,Ano Comum,134,2665,3,5,0,0,11,118,1,3,99,1,0,11,3,7,0,27,4,0,0,12,0,0,9,18,0,160,0,1,0,6,25,6,128,4,0,31,0,0,5
102,Ano Comum,135,4313,3,2,0,0,0,7,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,3,0,0,0,0,3,7,8,0,0,6,0,0,2
103,Ano Comum,136,698,3,0,0,0,0,44,2,1,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,26,0,0,0,0,2,3,27,2,0,5,0,0,0
104,Ano Comum,137,3045,3,0,0,0,0,21,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,5,8,0,0,7,0,0,0
105,Ano Comum,138,250,3,0,0,0,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,9,4,0,0,1,0,0,0
106,Ano Comum,139,302,3,0,0,0,0,22,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,4,15,1,0,4,0,0,0
107,Ano Comum,140,5768,3,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0
108,Ano Comum,141,10316,3,0,0,0,0,12,0,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2,0,1,10,1,0,4,0,0,0
109,Ano Comum,142,5617,3,0,0,0,0,9,0,0,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,4,7,0,0,5,0,0,0
110,Ano Comum,143,21741,3,1,0,0,1,61,1,0,48,2,0,1,3,1,0,3,0,0,0,0,0,0,2,3,0,76,0,0,0,9,35,32,53,7,0,13,0,0,1
111,Ano Comum,144,5988,3,0,0,0,0,15,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,1,1,8,0,0,7,0,0,0
112,Ano Comum,145,455,3,1,0,0,1,26,0,3,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,47,0,0,0,0,2,0,35,0,0,4,0,0,1
113,Ano Comum,146,24841,3,14,0,1,5,93,3,4,79,0,0,6,1,6,1,6,1,0,0,1,0,0,3,6,0,69,0,0,0,1,16,2,70,5,0,19,0,0,15
114,Ano Comum,151,9334,3,6,0,2,4,99,2,2,40,2,0,2,1,1,0,8,5,0,0,1,0,0,2,16,0,70,0,2,0,12,18,5,116,7,1,18,0,0,9
115,Ano Comum,152,3751,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0,0,0
116,Ano Comum,153,7493,3,0,0,0,1,15,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,17,0,0,4,0,0,0
117,Ano Comum,154,1941,3,1,0,0,1,25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,2,11,0,0,4,0,0,1
118,Ano Comum,155,3979,3,0,0,0,2,9,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,5,0,0,2,0,0,0
119,Ano Comum,156,8148,3,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,2,0,0,12,0,0,1
120,Ano Comum,157,5898,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,5,0,0,0
121,Ano Comum,158,3846,3,0,0,0,0,9,0,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,8,0,0,0,0,1,2,6,0,0,4,0,0,0
122,Ano Comum,159,9538,3,0,0,0,0,36,1,2,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,29,0,0,0,2,4,2,35,1,0,6,0,0,0
123,Ano Comum,165,3564,3,0,0,0,0,37,1,0,17,1,0,1,0,1,1,2,0,0,0,0,0,0,1,6,0,28,0,0,0,1,2,2,28,0,0,15,0,0,0
124,Ano Comum,166,8251,3,7,0,0,9,118,4,3,31,2,0,4,1,1,1,5,2,0,0,2,0,0,3,3,0,106,0,0,0,3,79,2,118,4,0,27,0,0,7
125,Ano Comum,167,9251,3,3,0,0,3,17,1,0,6,0,0,1,1,1,0,1,0,0,0,1,0,0,0,2,0,29,0,0,0,3,5,5,31,1,0,4,0,0,3
126,Ano Comum,168,8373,3,0,0,0,0,7,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,10,0,0,2,0,0,0
127,Ano Comum,1,35,1,0,0,0,1,36,0,0,21,1,0,19,1,9,6,53,13,0,0,33,0,0,16,14,0,210,0,1,0,65,1,11,20,0,0,6,0,0,0
128,Ano Comum,4,38,1,4,0,0,0,32,1,1,61,0,0,6,0,5,2,33,13,2,0,26,0,0,14,2,0,80,0,0,0,4,31,5,28,5,0,6,0,0,4
129,Ano Comum,5,3,1,3,0,0,1,65,4,0,23,0,0,8,2,3,0,44,6,1,0,27,0,0,39,14,0,220,0,0,0,27,7,17,58,3,2,9,0,0,5
130,Ano Comum,6,6,1,6,0,0,8,34,2,1,27,3,0,6,3,30,2,20,14,2,0,24,1,0,34,11,0,68,0,0,0,2,18,2,20,4,4,18,0,0,10
131,Ano Comum,7,52,1,1,0,0,0,14,1,0,1,1,0,2,0,16,1,1,0,0,0,1,0,0,12,13,0,26,0,0,0,1,5,1,26,1,1,3,0,0,2
132,Ano Comum,9,69,1,1,0,0,1,41,0,0,31,1,0,8,2,24,3,19,19,0,0,15,0,0,33,75,0,176,0,0,0,13,7,1,39,2,0,8,0,0,1
133,Ano Comum,10,82,1,1,0,0,0,60,0,1,21,1,0,15,4,9,2,24,23,1,0,20,2,0,27,68,0,187,0,0,0,15,10,3,28,2,0,4,0,0,1
134,Ano Comum,12,32,1,1,0,0,2,67,0,1,15,3,0,6,4,4,0,26,8,1,0,13,0,0,56,16,0,300,0,1,0,8,14,3,44,2,0,7,0,0,1
135,Ano Comum,13,19,1,1,0,0,0,28,0,0,11,1,0,10,4,5,0,10,5,0,0,13,0,0,21,14,0,151,0,0,0,10,11,1,28,2,0,1,0,0,1
136,Ano Comum,14,52,1,0,0,0,3,36,1,0,32,0,0,6,12,23,0,27,5,0,0,20,0,0,39,37,0,303,0,1,0,17,5,6,33,2,0,8,0,0,0
137,Ano Comum,15,199,1,0,0,0,0,26,0,1,47,3,0,0,3,5,1,8,2,0,0,1,0,0,10,16,0,97,0,0,0,2,16,1,13,4,0,16,0,0,0
138,Ano Comum,16,1754,1,5,0,0,1,121,10,5,122,2,0,16,7,45,5,21,12,0,0,19,1,0,62,40,0,289,0,1,0,51,5,4,122,8,0,9,0,0,5
139,Ano Comum,17,111,1,3,0,0,6,34,1,2,28,6,0,9,0,43,6,29,10,0,0,18,0,0,45,22,0,76,0,1,0,4,47,3,24,2,3,10,0,0,6
140,Ano Comum,18,35,1,0,0,0,1,26,1,1,25,0,0,7,2,42,5,24,15,0,0,37,0,0,38,34,0,92,0,0,0,9,12,2,22,1,2,3,0,0,2
141,Ano Comum,19,404,1,1,0,0,2,53,1,1,18,2,0,14,0,34,7,30,3,0,0,25,0,0,57,36,0,124,0,1,0,13,13,1,48,0,1,11,0,0,2
142,Ano Comum,20,112,1,4,0,0,5,46,2,0,19,0,0,12,2,56,6,29,8,0,0,22,0,0,39,41,0,97,0,0,0,12,19,5,31,4,1,9,0,0,5
143,Ano Comum,21,148,1,21,0,1,0,87,5,5,54,13,0,19,4,178,31,50,42,0,0,26,1,0,166,38,0,95,0,2,0,16,54,13,45,11,1,11,0,0,23
144,Ano Comum,22,162,1,5,1,0,0,55,3,3,41,8,0,20,0,127,13,36,14,0,0,20,1,0,107,56,0,100,1,1,0,9,11,2,51,6,3,14,1,0,9
145,Ano Comum,23,47,1,2,0,0,9,59,4,1,16,0,0,17,1,120,24,33,11,1,0,23,0,0,111,48,0,133,0,2,0,28,7,5,56,4,1,5,0,0,3
146,Ano Comum,24,74,1,4,0,0,1,70,1,3,36,0,0,14,3,84,13,15,7,0,0,11,0,0,85,26,0,54,0,0,0,10,15,3,61,2,0,35,0,0,4
147,Ano Comum,25,82,1,3,0,0,11,48,0,0,22,7,0,10,1,92,7,16,5,0,0,9,0,0,84,5,0,48,0,0,0,6,43,2,25,5,7,54,0,0,10
148,Ano Comum,26,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
149,Ano Comum,27,141,1,3,0,0,9,56,0,0,41,5,0,16,2,120,5,17,4,0,0,28,1,0,91,61,0,79,0,0,0,11,0,2,60,6,1,6,0,0,4
